TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.815,0.753,0.146,0.571,0.538
0.788,0.73,0.126,0.598,0.426
0.885,0.775,0.159,0.67,0.547
0.578,0.584,0.105,0.367,0.402
0.629,0.524,0.306,0.423,0.247
0.478,0.455,0.139,0.255,0.271
0.91,0.856,0.142,0.644,0.625
0.87,0.864,0.038,0.611,0.797
0.843,0.83,0.196,0.681,0.502
0.873,0.838,0.278,0.653,0.358
0.587,0.701,0.083,0.403,0.554
0.837,0.769,0.209,0.673,0.357
0.746,0.662,0.174,0.481,0.276
0.375,0.414,0.039,0.18,0.535
0.841,0.811,0.097,0.582,0.599
0.744,0.689,0.094,0.507,0.354
0.539,0.562,0.144,0.308,0.45
0.367,0.43,0.136,0.213,0.62
0.891,0.777,0.102,0.686,0.584
0.871,0.864,0.191,0.671,0.583
0.815,0.829,0.102,0.668,0.706
0.215,0.432,0.051,0.103,0.587
0.808,0.756,0.111,0.572,0.554
0.274,0.512,0.041,0.26,0.502
0.621,0.516,0.318,0.377,0.431
0.603,0.752,0.135,0.403,0.614
0.904,0.831,0.0,0.676,0.636
0.798,0.77,0.184,0.584,0.393
0.343,0.429,0.164,0.19,0.613
0.663,0.609,0.047,0.438,0.405
0.755,0.747,0.115,0.401,0.565
0.562,0.635,0.031,0.358,0.488
0.637,0.63,0.087,0.44,0.446
0.843,0.804,0.067,0.688,0.619
0.825,0.758,0.219,0.667,0.428
0.977,0.957,0.059,0.523,0.798
0.345,0.353,0.028,0.147,0.559
0.274,0.479,0.063,0.146,0.473
0.527,0.522,0.059,0.325,0.521
0.762,0.706,0.159,0.571,0.395
0.606,0.633,0.075,0.365,0.423
0.781,0.739,0.105,0.555,0.565
0.537,0.527,0.038,0.285,0.605
0.694,0.619,0.212,0.494,0.3
0.821,0.803,0.097,0.529,0.627
0.709,0.69,0.175,0.42,0.535
0.323,0.333,0.054,0.132,0.345
0.681,0.659,0.124,0.44,0.486
0.819,0.734,0.235,0.639,0.297
0.401,0.49,0.091,0.203,0.399
0.928,0.78,0.142,0.799,0.505
0.655,0.705,0.089,0.415,0.538
0.219,0.298,0.019,0.066,0.377
0.728,0.782,0.105,0.493,0.437
0.681,0.649,0.048,0.431,0.562
0.893,0.788,0.139,0.655,0.541
0.535,0.534,0.019,0.228,0.462
0.831,0.774,0.074,0.601,0.488
0.868,0.802,0.147,0.631,0.625
0.948,0.869,0.049,0.566,0.745
0.665,0.635,0.05,0.513,0.482
0.637,0.533,0.116,0.344,0.364
0.898,0.82,0.082,0.696,0.584
0.842,0.752,0.145,0.613,0.345
0.601,0.604,0.058,0.382,0.331
0.82,0.748,0.117,0.53,0.598
0.655,0.725,0.069,0.407,0.489
0.884,0.87,0.079,0.702,0.581
0.524,0.491,0.116,0.308,0.45
0.425,0.507,0.136,0.246,0.625
0.915,0.822,0.073,0.699,0.536
0.544,0.511,0.167,0.335,0.292
0.656,0.825,0.068,0.359,0.643
0.473,0.495,0.112,0.295,0.467
0.829,0.74,0.348,0.649,0.261
0.859,0.736,0.22,0.688,0.25
0.495,0.512,0.077,0.262,0.425
0.914,0.947,0.021,0.557,0.767
0.825,0.722,0.348,0.673,0.166
0.519,0.494,0.087,0.256,0.465
0.828,0.821,0.127,0.56,0.39
0.723,0.751,0.207,0.514,0.399
0.844,0.794,0.108,0.647,0.565
0.882,0.818,0.143,0.612,0.608
0.852,0.843,0.075,0.563,0.473
0.54,0.543,0.037,0.324,0.489
0.661,0.579,0.162,0.407,0.401
0.128,0.276,0.017,0.047,0.736
0.777,0.72,0.116,0.636,0.482
0.889,0.787,0.141,0.721,0.586
0.53,0.491,0.152,0.309,0.328
0.6,0.525,0.128,0.363,0.398
0.765,0.676,0.22,0.494,0.339
0.809,0.757,0.19,0.605,0.473
0.409,0.47,0.173,0.236,0.324
0.362,0.38,0.036,0.154,0.315
0.895,0.821,0.007,0.704,0.818
0.287,0.327,0.076,0.137,0.539
0.236,0.276,0.105,0.118,0.42
0.969,0.876,0.044,0.643,0.807
0.691,0.66,0.172,0.465,0.601
0.694,0.725,0.058,0.484,0.578
0.598,0.753,0.126,0.412,0.655
0.688,0.662,0.112,0.481,0.486
0.223,0.356,0.027,0.057,0.687
0.778,0.816,0.047,0.519,0.449
0.704,0.661,0.125,0.455,0.386
0.878,0.834,0.114,0.635,0.486
0.832,0.785,0.156,0.54,0.589
0.783,0.806,0.111,0.471,0.479
0.411,0.483,0.033,0.186,0.429
0.943,0.968,0.055,0.642,0.756
0.793,0.818,0.082,0.607,0.526
0.728,0.709,0.23,0.572,0.468
0.403,0.565,0.077,0.185,0.619
0.318,0.516,0.049,0.15,0.511
0.893,0.883,0.033,0.605,0.685
0.681,0.694,0.127,0.418,0.544
0.677,0.634,0.043,0.361,0.447
0.688,0.58,0.265,0.496,0.258
0.838,0.724,0.149,0.659,0.285
0.895,0.789,0.075,0.724,0.416
0.162,0.193,0.029,0.064,0.486
0.878,0.827,0.075,0.646,0.508
0.568,0.568,0.067,0.343,0.294
0.511,0.488,0.064,0.297,0.47
0.611,0.653,0.128,0.382,0.544
0.303,0.364,0.037,0.119,0.593
0.836,0.884,0.001,0.576,0.822
0.341,0.321,0.058,0.148,0.405
0.902,0.85,0.035,0.653,0.687
0.674,0.683,0.081,0.444,0.646
0.327,0.398,0.046,0.178,0.339
0.843,0.835,0.114,0.574,0.614
0.833,0.766,0.259,0.659,0.467
0.924,0.829,0.029,0.703,0.75
0.421,0.527,0.095,0.241,0.595
0.85,0.691,0.563,0.665,0.169
0.379,0.334,0.062,0.157,0.447
0.574,0.621,0.059,0.333,0.455
0.854,0.794,0.053,0.617,0.748
0.576,0.621,0.06,0.345,0.432
0.747,0.747,0.194,0.519,0.461
0.926,0.869,0.054,0.734,0.438
0.833,0.734,0.257,0.643,0.369
0.791,0.74,0.149,0.552,0.401
0.89,0.753,0.14,0.718,0.369
0.479,0.438,0.14,0.266,0.316
0.442,0.429,0.075,0.194,0.242
0.838,0.707,0.338,0.663,0.322
0.842,0.714,0.16,0.651,0.187
0.818,0.778,0.051,0.528,0.364
0.41,0.519,0.132,0.271,0.581
0.899,0.905,0.092,0.615,0.55
0.068,0.052,0.071,0.026,0.262
0.897,0.88,0.058,0.699,0.64
0.867,0.764,0.269,0.712,0.349
0.301,0.538,0.035,0.195,0.66
0.869,0.811,0.167,0.689,0.637
0.525,0.511,0.068,0.321,0.509
0.731,0.779,0.085,0.495,0.538
0.671,0.708,0.117,0.434,0.569
0.847,0.808,0.091,0.633,0.547
0.871,0.827,0.122,0.692,0.636
0.792,0.689,0.081,0.549,0.557
0.289,0.379,0.044,0.107,0.559
0.374,0.412,0.019,0.148,0.292
0.703,0.897,0.038,0.354,0.724
0.492,0.534,0.041,0.25,0.485
0.826,0.79,0.059,0.603,0.503
0.852,0.692,0.308,0.707,0.279
0.186,0.306,0.062,0.068,0.447
0.774,0.769,0.032,0.518,0.545
0.627,0.66,0.048,0.402,0.471
0.827,0.864,0.03,0.512,0.77
0.713,0.688,0.098,0.501,0.565
0.722,0.744,0.128,0.501,0.435
0.945,0.829,0.077,0.775,0.55
0.233,0.327,0.073,0.101,0.33
0.55,0.523,0.099,0.33,0.386
0.723,0.657,0.134,0.436,0.425
0.594,0.606,0.067,0.396,0.351
0.861,0.732,0.254,0.688,0.41
0.659,0.707,0.063,0.537,0.492
0.744,0.797,0.118,0.546,0.551
0.48,0.531,0.084,0.249,0.432
0.552,0.487,0.21,0.323,0.334
0.148,0.205,0.048,0.059,0.505
0.918,0.871,0.05,0.645,0.67
0.363,0.433,0.155,0.191,0.568
0.657,0.707,0.027,0.539,0.477
0.321,0.377,0.095,0.178,0.541
0.57,0.579,0.02,0.323,0.589
0.866,0.696,0.314,0.696,0.25
0.525,0.511,0.097,0.268,0.416
0.867,0.885,0.271,0.648,0.687
0.812,0.791,0.098,0.561,0.575
0.197,0.265,0.094,0.096,0.28
0.858,0.842,0.115,0.792,0.541
0.523,0.558,0.046,0.279,0.572
0.69,0.626,0.173,0.458,0.361
0.625,0.606,0.124,0.355,0.563
0.725,0.667,0.046,0.355,0.384
0.868,0.809,0.066,0.623,0.526
0.797,0.769,0.184,0.579,0.505
0.665,0.642,0.105,0.445,0.474
0.787,0.767,0.193,0.583,0.462
0.86,0.7,0.042,0.603,0.319
0.817,0.697,0.164,0.614,0.167
0.569,0.542,0.071,0.296,0.411
0.87,0.737,0.114,0.705,0.34
0.422,0.479,0.043,0.19,0.413
0.583,0.603,0.097,0.429,0.425
0.908,0.9,0.045,0.537,0.613
0.568,0.494,0.118,0.342,0.462
0.8,0.751,0.157,0.597,0.553
0.886,0.858,0.032,0.475,0.563
0.802,0.752,0.173,0.616,0.506
0.821,0.778,0.054,0.615,0.449
0.899,0.77,0.163,0.698,0.426
0.715,0.692,0.111,0.476,0.607
0.606,0.489,0.1,0.303,0.322
0.478,0.503,0.113,0.29,0.387
0.298,0.349,0.057,0.123,0.462
0.755,0.778,0.205,0.571,0.5
0.658,0.668,0.241,0.482,0.462
0.827,0.777,0.139,0.663,0.467
0.501,0.488,0.071,0.243,0.387
0.299,0.531,0.063,0.15,0.532
0.689,0.69,0.078,0.476,0.477
0.822,0.775,0.179,0.628,0.464
0.58,0.492,0.082,0.323,0.346
0.582,0.62,0.191,0.435,0.295
0.855,0.819,0.153,0.675,0.452
0.893,0.816,0.151,0.662,0.676
0.635,0.57,0.064,0.358,0.464
0.541,0.644,0.06,0.344,0.548
0.858,0.785,0.088,0.68,0.373
0.518,0.485,0.184,0.315,0.396
0.445,0.429,0.085,0.224,0.452
0.903,0.882,0.129,0.701,0.361
0.748,0.748,0.118,0.534,0.42
0.841,0.731,0.316,0.665,0.218
0.623,0.638,0.084,0.366,0.657
0.522,0.481,0.154,0.318,0.315
0.546,0.561,0.039,0.298,0.495
0.814,0.736,0.193,0.577,0.542
0.819,0.765,0.11,0.59,0.584
0.829,0.743,0.462,0.66,0.313
0.319,0.47,0.101,0.161,0.431
0.848,0.815,0.086,0.551,0.694
0.844,0.807,0.07,0.586,0.623
0.789,0.757,0.192,0.601,0.381
0.37,0.408,0.179,0.223,0.456
0.651,0.555,0.313,0.443,0.307
0.621,0.584,0.124,0.33,0.533
0.629,0.536,0.155,0.415,0.236
0.811,0.743,0.112,0.605,0.465
0.416,0.541,0.046,0.226,0.587
0.802,0.743,0.139,0.595,0.512
0.676,0.698,0.085,0.413,0.521
0.864,0.861,0.062,0.615,0.556
0.777,0.745,0.244,0.57,0.491
0.735,0.805,0.109,0.554,0.56
0.681,0.64,0.07,0.42,0.607
0.478,0.464,0.128,0.253,0.383
0.791,0.75,0.131,0.605,0.544
0.857,0.786,0.134,0.5,0.639
0.893,0.814,0.042,0.688,0.667
0.823,0.792,0.092,0.596,0.551
0.84,0.726,0.318,0.653,0.203
0.419,0.442,0.08,0.257,0.128
0.853,0.832,0.104,0.56,0.661
0.396,0.458,0.064,0.138,0.535
0.642,0.663,0.064,0.397,0.339
0.268,0.463,0.036,0.137,0.544
0.78,0.697,0.151,0.595,0.366
0.599,0.733,0.183,0.396,0.581
0.581,0.581,0.059,0.363,0.309
0.849,0.784,0.091,0.597,0.592
0.435,0.499,0.15,0.279,0.589
0.812,0.754,0.243,0.657,0.361
0.724,0.661,0.06,0.373,0.511
0.433,0.385,0.162,0.222,0.393
0.774,0.719,0.228,0.59,0.312
0.568,0.569,0.08,0.344,0.452
0.423,0.42,0.107,0.21,0.261
0.603,0.735,0.172,0.399,0.53
0.876,0.835,0.022,0.701,0.655
0.23,0.385,0.04,0.122,0.512
0.167,0.291,0.074,0.081,0.465
0.892,0.821,0.154,0.701,0.506
0.577,0.605,0.075,0.361,0.366
0.756,0.718,0.121,0.438,0.479
0.454,0.482,0.133,0.273,0.589
0.898,0.863,0.072,0.708,0.461
0.311,0.484,0.069,0.151,0.473
0.218,0.269,0.057,0.065,0.244
0.588,0.567,0.058,0.353,0.364
0.494,0.515,0.145,0.28,0.536
0.567,0.568,0.045,0.353,0.298
0.664,0.689,0.089,0.424,0.509
0.876,0.828,0.091,0.697,0.605
0.988,0.964,0.029,0.529,0.792
0.834,0.731,0.207,0.662,0.357
0.422,0.369,0.11,0.24,0.13
0.624,0.604,0.069,0.367,0.259
0.838,0.849,0.095,0.63,0.669
0.401,0.398,0.099,0.252,0.264
0.687,0.671,0.142,0.533,0.551
0.656,0.697,0.092,0.397,0.602
0.51,0.451,0.063,0.296,0.5
0.789,0.807,0.013,0.581,0.855
0.919,0.805,0.085,0.66,0.541
0.83,0.815,0.072,0.561,0.517
0.829,0.779,0.131,0.564,0.503
0.815,0.745,0.231,0.599,0.295
0.853,0.858,0.049,0.541,0.636
0.811,0.747,0.231,0.619,0.345
0.894,0.819,0.093,0.642,0.502
0.418,0.368,0.082,0.195,0.248
0.895,0.9,0.052,0.5,0.779
0.904,0.82,0.077,0.647,0.774
0.746,0.841,0.077,0.551,0.651
0.905,0.808,0.114,0.717,0.532
0.322,0.322,0.071,0.142,0.401
0.444,0.494,0.155,0.277,0.518
0.85,0.837,0.103,0.564,0.455
0.854,0.898,0.05,0.568,0.702
0.235,0.314,0.09,0.116,0.483
0.916,0.966,0.075,0.528,0.708
0.814,0.744,0.167,0.536,0.548
0.792,0.71,0.179,0.516,0.348
0.426,0.405,0.057,0.251,0.328
0.155,0.211,0.084,0.083,0.352
0.48,0.546,0.053,0.248,0.551
0.964,0.794,0.425,0.691,0.396
0.789,0.66,0.148,0.528,0.462
0.872,0.804,0.211,0.667,0.541
0.275,0.479,0.055,0.129,0.464
0.888,0.898,0.065,0.711,0.514
0.877,0.802,0.094,0.711,0.593
0.518,0.537,0.055,0.325,0.651
0.214,0.328,0.047,0.115,0.334
0.345,0.296,0.106,0.191,0.373
0.297,0.457,0.047,0.132,0.36
0.863,0.814,0.083,0.617,0.566
0.869,0.879,0.055,0.564,0.584
0.887,0.84,0.028,0.672,0.804
0.846,0.748,0.123,0.665,0.279
0.923,0.903,0.053,0.684,0.723
0.846,0.854,0.064,0.511,0.506
0.816,0.839,0.104,0.509,0.557
0.821,0.778,0.122,0.543,0.663
0.869,0.699,0.08,0.64,0.348
0.611,0.61,0.053,0.375,0.533
0.33,0.368,0.039,0.161,0.553
0.851,0.718,0.213,0.656,0.464
0.872,0.871,0.027,0.625,0.776
0.578,0.455,0.177,0.295,0.273
0.666,0.646,0.145,0.467,0.572
0.676,0.66,0.128,0.466,0.53
0.881,0.742,0.313,0.71,0.309
0.432,0.416,0.096,0.203,0.414
0.515,0.564,0.104,0.264,0.447
0.791,0.759,0.188,0.598,0.401
0.473,0.437,0.164,0.267,0.322
0.482,0.522,0.086,0.256,0.428
0.877,0.748,0.26,0.69,0.358
0.249,0.33,0.078,0.143,0.464
0.363,0.384,0.043,0.15,0.34
0.86,0.842,0.118,0.638,0.532
0.887,0.822,0.061,0.595,0.643
0.305,0.323,0.057,0.191,0.304
0.703,0.716,0.052,0.429,0.509
0.624,0.654,0.049,0.399,0.643
0.734,0.776,0.109,0.51,0.569
0.893,0.835,0.106,0.645,0.652
0.72,0.647,0.198,0.46,0.348
0.58,0.641,0.07,0.342,0.322
0.926,0.914,0.075,0.576,0.718
0.8,0.859,0.0,0.472,1.0
0.444,0.408,0.152,0.219,0.489
0.702,0.617,0.23,0.511,0.36
0.948,0.963,0.014,0.652,0.748
0.515,0.568,0.091,0.244,0.505
0.667,0.635,0.134,0.436,0.367
0.596,0.705,0.152,0.396,0.559
0.833,0.782,0.131,0.588,0.557
0.539,0.511,0.031,0.288,0.562
0.57,0.638,0.063,0.462,0.506
0.568,0.558,0.072,0.35,0.25
0.832,0.776,0.265,0.583,0.497
0.897,0.735,0.181,0.698,0.45
0.594,0.651,0.074,0.368,0.502
0.892,0.817,0.141,0.679,0.541
0.902,0.785,0.11,0.719,0.417
0.666,0.679,0.099,0.482,0.58
0.924,0.881,0.082,0.722,0.634
0.861,0.813,0.164,0.635,0.571
0.674,0.674,0.053,0.406,0.452
0.673,0.614,0.094,0.368,0.495
0.81,0.769,0.506,0.674,0.434
0.854,0.701,0.619,0.665,0.217
0.81,0.76,0.185,0.624,0.364
0.89,0.823,0.042,0.681,0.699
0.893,0.879,0.022,0.628,0.648
0.898,0.903,0.005,0.638,0.721
0.747,0.864,0.063,0.538,0.605
0.588,0.483,0.136,0.314,0.348
0.865,0.845,0.033,0.629,0.589
0.751,0.758,0.172,0.542,0.627
0.891,0.819,0.049,0.662,0.443
0.408,0.499,0.078,0.206,0.483
0.87,0.804,0.125,0.639,0.601
0.86,0.833,0.118,0.792,0.642
0.8,0.727,0.373,0.643,0.331
0.867,0.838,0.091,0.631,0.667
0.175,0.185,0.045,0.064,0.456
0.86,0.824,0.111,0.589,0.535
0.914,0.909,0.018,0.847,0.732
0.85,0.851,0.057,0.623,0.795
0.656,0.606,0.121,0.425,0.633
0.416,0.409,0.08,0.262,0.274
0.648,0.72,0.07,0.506,0.404
0.698,0.707,0.091,0.5,0.514
0.776,0.746,0.135,0.58,0.503
0.862,0.836,0.088,0.609,0.623
0.79,0.743,0.159,0.586,0.411
0.861,0.766,0.208,0.694,0.337
0.869,0.769,0.208,0.628,0.595
0.252,0.299,0.055,0.138,0.447
0.614,0.645,0.117,0.441,0.429
0.503,0.555,0.063,0.366,0.407
0.963,0.862,0.051,0.674,0.607
0.61,0.62,0.059,0.395,0.473
0.546,0.477,0.106,0.356,0.321
0.35,0.411,0.035,0.185,0.599
0.691,0.708,0.069,0.424,0.529
0.508,0.555,0.092,0.26,0.473
0.878,0.846,0.109,0.696,0.648
0.792,0.744,0.181,0.604,0.456
0.264,0.307,0.078,0.108,0.44
0.413,0.463,0.093,0.232,0.524
0.886,0.907,0.088,0.521,0.72
0.541,0.427,0.129,0.292,0.245
0.637,0.654,0.086,0.457,0.536
0.403,0.453,0.06,0.248,0.196
0.444,0.491,0.209,0.268,0.5
0.777,0.797,0.123,0.551,0.583
0.585,0.719,0.156,0.384,0.536
0.901,0.965,0.036,0.517,0.786
0.317,0.337,0.095,0.203,0.232
0.412,0.392,0.09,0.259,0.22
0.125,0.234,0.019,0.049,0.584
0.839,0.81,0.093,0.523,0.625
0.83,0.738,0.146,0.607,0.587
0.911,0.864,0.056,0.699,0.66
0.819,0.805,0.01,0.584,0.464
0.561,0.582,0.056,0.34,0.383
0.551,0.541,0.055,0.31,0.512
0.416,0.477,0.101,0.232,0.455
0.599,0.547,0.046,0.331,0.498
0.857,0.802,0.154,0.639,0.535
0.96,0.788,0.059,0.716,0.714
0.873,0.716,0.4,0.699,0.25
0.791,0.753,0.131,0.594,0.367
0.583,0.589,0.124,0.392,0.483
0.854,0.771,0.198,0.736,0.352
0.897,0.775,0.084,0.676,0.486
0.973,0.8,0.007,0.726,0.723
0.563,0.52,0.122,0.372,0.447
0.863,0.74,0.182,0.685,0.25
0.686,0.606,0.119,0.402,0.38
0.485,0.5,0.188,0.276,0.34
0.685,0.619,0.093,0.327,0.401
0.577,0.585,0.072,0.355,0.334
0.876,0.826,0.163,0.66,0.631
0.855,0.826,0.082,0.621,0.637
0.532,0.504,0.125,0.324,0.464
0.938,0.919,0.067,0.724,0.633
0.821,0.715,0.428,0.665,0.312
0.861,0.817,0.111,0.643,0.572
0.472,0.513,0.122,0.286,0.468
0.558,0.543,0.06,0.311,0.542
0.922,0.954,0.044,0.555,0.798
0.646,0.637,0.322,0.454,0.449
0.88,0.788,0.048,0.704,0.37
0.719,0.763,0.111,0.473,0.535
0.387,0.451,0.067,0.213,0.563
0.483,0.489,0.08,0.255,0.473
0.843,0.818,0.14,0.559,0.495
0.628,0.644,0.057,0.382,0.373
0.595,0.612,0.052,0.362,0.455
0.8,0.729,0.182,0.625,0.331
0.975,0.958,0.051,0.761,0.515
0.682,0.575,0.195,0.469,0.357
0.216,0.441,0.057,0.105,0.584
0.338,0.406,0.033,0.15,0.407
0.849,0.795,0.0,0.695,0.151
0.409,0.491,0.08,0.204,0.386
0.569,0.606,0.141,0.363,0.465
0.344,0.389,0.026,0.19,0.551
0.577,0.616,0.04,0.282,0.59
0.449,0.483,0.23,0.276,0.486
0.533,0.566,0.03,0.342,0.613
0.911,0.906,0.099,0.534,0.575
0.855,0.702,0.471,0.685,0.286
0.857,0.805,0.151,0.635,0.554
0.866,0.837,0.123,0.682,0.634
0.692,0.613,0.066,0.381,0.381
0.87,0.825,0.115,0.57,0.622
0.839,0.815,0.096,0.608,0.577
0.527,0.509,0.083,0.273,0.462
0.588,0.585,0.09,0.362,0.316
0.861,0.896,0.027,0.508,0.649
0.736,0.713,0.307,0.541,0.268
0.571,0.617,0.058,0.356,0.614
0.489,0.528,0.183,0.291,0.377
0.405,0.523,0.065,0.203,0.539
0.969,0.91,0.031,0.57,0.773
0.563,0.484,0.134,0.34,0.298
0.676,0.585,0.027,0.436,0.58
0.574,0.596,0.049,0.337,0.506
0.321,0.323,0.045,0.132,0.389
0.757,0.739,0.044,0.523,0.48
0.924,0.935,0.028,0.72,0.398
0.876,0.882,0.049,0.624,0.819
0.744,0.654,0.206,0.497,0.199
0.749,0.72,0.164,0.524,0.48
0.623,0.534,0.056,0.319,0.526
0.626,0.617,0.113,0.379,0.61
0.906,0.797,0.126,0.69,0.446
0.657,0.688,0.088,0.416,0.512
0.593,0.597,0.056,0.363,0.324
0.566,0.491,0.16,0.316,0.375
0.487,0.506,0.166,0.317,0.291
0.842,0.779,0.145,0.52,0.664
0.038,0.013,0.08,0.011,0.205
0.844,0.836,0.056,0.475,0.532
0.874,0.955,0.008,0.531,0.914
0.905,0.832,0.091,0.678,0.69
0.87,0.773,0.148,0.643,0.536
0.351,0.459,0.014,0.141,0.604
0.758,0.922,0.0,0.721,0.605
0.793,0.748,0.191,0.559,0.377
0.456,0.483,0.082,0.278,0.203
0.722,0.715,0.084,0.439,0.511
0.656,0.666,0.048,0.479,0.527
0.888,0.844,0.054,0.632,0.724
0.608,0.677,0.06,0.384,0.477
0.825,0.79,0.101,0.602,0.59
0.66,0.567,0.171,0.467,0.327
0.358,0.392,0.04,0.182,0.241
